Timestamp,Year,Extroversion,Texts,Handedness,Sleep Position,Hours of Sleep,Siblings,Pets,Random Number,Tattoos,Commute
4/23/2024 9:31:24,First,1,12,Both,Stomach,4,0,0,1122,No,Car
4/23/2024 9:31:52,First,2,200,Right,Right side,7,1,0,1417,No,Bus
4/23/2024 9:32:06,Second,5,30,Right,Left side,6,4,0,1234,No,walk
4/23/2024 9:33:01,Second,5,30,Right,Left side,6,4,0,1234,No,walk
4/23/2024 9:33:02,First,7,15,Right,Left side,9,2,,1475,No,Skateboard
4/23/2024 9:37:21,Second,3,15,Right,Right side,7,2,"cats, dogs, fish",8457,No,Car
4/23/2024 9:38:27,First,7,100,Right,Right side,8,7,4 black cats,6969,Yes,walk
4/23/2024 9:38:53,First,1,16,Right,Stomach,9,1,1,3246,No,walk
4/23/2024 9:39:14,First,7,100,Right,Right side,8,7,4 black cats,6902,Yes,walk
4/23/2024 9:39:48,First,5,100,Right,Right side,8,2,2 cats,3497,No,Bike
4/23/2024 9:40:27,Second,7,350,Right,Left side,6,2,"Cat, turtle",8321,No,Bike
4/23/2024 9:40:27,First,6,50,Right,Right side,8,2,2 cats,2345,No,Bike
4/23/2024 9:41:53,Third,6,10,Right,Stomach,7,1,1,8456,No,walk
4/23/2024 9:42:28,Third,3,10,Right,Right side,8,1,none,9302,No,Bus
4/23/2024 9:43:57,First,5,100,Right,Left side,9,0,no,1000,No,walk
4/23/2024 9:44:04,Second,6,30,Right,Right side,8,1,,8384,No,Bike
4/23/2024 9:44:22,First,7,35,Right,Right side,8,2,a cat.,9468,Yes,Bike
4/23/2024 9:44:24,First,3,15,Right,Right side,5,0,malti poodle ,5674,No,Bus
4/23/2024 9:44:28,First,2,15,Right,Left side,5,1,"Cat, Rabbits, Fish, Dog",5445,No,walk
4/23/2024 9:44:33,First,3,300,Right,Stomach,9,0,"Dog, Dog",1209,No,walk
4/23/2024 9:44:36,Second,6,15,Right,Left side,7,2,2,4697,No,walk
4/23/2024 9:44:46,First,6,40,Right,Left side,8,1,0,1508,No,scooter
4/23/2024 9:44:56,First,8,200,Right,Right side,5,2,1 cat,1117,No,walk
4/23/2024 9:44:59,Third,6,20,Right,Right side,8,7,6,2003,No,car and bike
4/23/2024 9:45:02,First,6,150,Right,Stomach,8,1,n/a,7781,No,walk
4/23/2024 9:45:02,First,8,100,Right,Right side,5,1,A dog,2436,No,Bike
4/23/2024 9:45:11,Third,8,70,Right,Back,7,4,dog,7854,Yes,walk
4/23/2024 9:45:12,Fourth,6,20,Right,Left side,7,1,,1738,Yes,walk
4/23/2024 9:45:16,First,3,2,Right,Stomach,8,1,5 Cats,1286,No,Bike
